St.no;Year;Mnth;Date;Time(NMT);TA
68860;2010;8;16;24;15.9
68860;2010;8;17;1;15.6
68860;2010;8;17;2;14.7
68860;2010;8;17;3;15.7
68860;2010;8;17;4;15.6
68860;2010;8;17;5;14.4
68860;2010;8;17;6;15.9
68860;2010;8;17;7;17.5
68860;2010;8;17;8;18.4
68860;2010;8;17;9;18.3
68860;2010;8;17;10;19.0
68860;2010;8;17;11;19.7
68860;2010;8;17;12;21.5
68860;2010;8;17;13;21.5
68860;2010;8;17;14;22.3
68860;2010;8;17;15;22.8
68860;2010;8;17;16;23.3
68860;2010;8;17;17;23.4
68860;2010;8;17;18;22.7
68860;2010;8;17;19;21.8
68860;2010;8;17;20;20.0
68860;2010;8;17;21;19.4
68860;2010;8;17;22;17.8
68860;2010;8;17;23;17.6
68860;2010;8;17;24;17.0
68860;2010;8;18;1;16.2
68860;2010;8;18;2;16.4
68860;2010;8;18;3;15.5
68860;2010;8;18;4;17.1
68860;2010;8;18;5;14.1
68860;2010;8;18;6;15.8
68860;2010;8;18;7;17.2
68860;2010;8;18;8;18.2
68860;2010;8;18;9;19.9
68860;2010;8;18;10;20.2
68860;2010;8;18;11;19.6
68860;2010;8;18;12;21.1
68860;2010;8;18;13;21.2
68860;2010;8;18;14;20.5
68860;2010;8;18;15;20.6
68860;2010;8;18;16;20.0
68860;2010;8;18;17;19.1
68860;2010;8;18;18;18.6
68860;2010;8;18;19;17.9
68860;2010;8;18;20;16.8
68860;2010;8;18;21;16.7
68860;2010;8;18;22;15.8
68860;2010;8;18;23;15.6
68860;2010;8;18;24;15.3
68860;2010;8;19;1;14.6
68860;2010;8;19;2;14.5
68860;2010;8;19;3;14.2
68860;2010;8;19;4;13.7
68860;2010;8;19;5;11.9
68860;2010;8;19;6;13.1
68860;2010;8;19;7;14.6
68860;2010;8;19;8;15.8
68860;2010;8;19;9;16.6
68860;2010;8;19;10;18.3
68860;2010;8;19;11;20.0
68860;2010;8;19;12;21.5
68860;2010;8;19;13;22.7
68860;2010;8;19;14;23.4
68860;2010;8;19;15;23.5
68860;2010;8;19;16;23.6
68860;2010;8;19;17;23.7
68860;2010;8;19;18;23.2
68860;2010;8;19;19;22.2
68860;2010;8;19;20;20.6
68860;2010;8;19;21;19.9
68860;2010;8;19;22;19.1
68860;2010;8;19;23;18.1
68860;2010;8;19;24;17.7
68860;2010;8;20;1;15.7
68860;2010;8;20;2;15.5
68860;2010;8;20;3;13.6
68860;2010;8;20;4;15.1
68860;2010;8;20;5;15.5
68860;2010;8;20;6;15.7
68860;2010;8;20;7;16.7
68860;2010;8;20;8;15.7
68860;2010;8;20;9;14.0
68860;2010;8;20;10;14.0
68860;2010;8;20;11;13.7
68860;2010;8;20;12;13.7
68860;2010;8;20;13;13.7
68860;2010;8;20;14;14.1
68860;2010;8;20;15;14.0
68860;2010;8;20;16;13.7
68860;2010;8;20;17;13.4
68860;2010;8;20;18;13.8
68860;2010;8;20;19;12.7
68860;2010;8;20;20;12.5
68860;2010;8;20;21;12.2
68860;2010;8;20;22;11.3
68860;2010;8;20;23;9.8
68860;2010;8;20;24;10.0
68860;2010;8;21;1;9.7
68860;2010;8;21;2;8.6
68860;2010;8;21;3;8.3
68860;2010;8;21;4;7.5
68860;2010;8;21;5;8.0
68860;2010;8;21;6;10.2
68860;2010;8;21;7;11.1
68860;2010;8;21;8;12.3
68860;2010;8;21;9;13.0
68860;2010;8;21;10;13.3
68860;2010;8;21;11;16.9
68860;2010;8;21;12;17.6
68860;2010;8;21;13;17.3
68860;2010;8;21;14;15.5
68860;2010;8;21;15;14.9
68860;2010;8;21;16;14.1
68860;2010;8;21;17;14.5
68860;2010;8;21;18;13.7
68860;2010;8;21;19;13.3
68860;2010;8;21;20;13.5
68860;2010;8;21;21;13.0
68860;2010;8;21;22;13.2
68860;2010;8;21;23;13.2
68860;2010;8;21;24;13.0
68860;2010;8;22;1;12.7
68860;2010;8;22;2;11.4
68860;2010;8;22;3;11.0
68860;2010;8;22;4;10.4
68860;2010;8;22;5;10.8
68860;2010;8;22;6;11.3
68860;2010;8;22;7;11.8
68860;2010;8;22;8;12.5
68860;2010;8;22;9;13.6
68860;2010;8;22;10;13.8
68860;2010;8;22;11;14.6
68860;2010;8;22;12;14.8
68860;2010;8;22;13;14.5
68860;2010;8;22;14;14.2
68860;2010;8;22;15;14.6
68860;2010;8;22;16;14.0
68860;2010;8;22;17;14.4
68860;2010;8;22;18;13.2
68860;2010;8;22;19;12.5
68860;2010;8;22;20;12.5
68860;2010;8;22;21;12.5
68860;2010;8;22;22;12.2
68860;2010;8;22;23;11.8
68860;2010;8;22;24;11.8
68860;2010;8;23;1;11.6
68860;2010;8;23;2;11.3
68860;2010;8;23;3;11.0
68860;2010;8;23;4;10.8
68860;2010;8;23;5;10.4
68860;2010;8;23;6;10.3
68860;2010;8;23;7;10.7
68860;2010;8;23;8;11.1
68860;2010;8;23;9;11.6
68860;2010;8;23;10;12.3
68860;2010;8;23;11;13.1
68860;2010;8;23;12;13.2
68860;2010;8;23;13;13.6
68860;2010;8;23;14;14.4
68860;2010;8;23;15;13.5
68860;2010;8;23;16;13.5
68860;2010;8;23;17;13.4
68860;2010;8;23;18;13.5
68860;2010;8;23;19;13.1
68860;2010;8;23;20;11.1
68860;2010;8;23;21;11.3
68860;2010;8;23;22;11.4
68860;2010;8;23;23;11.0
68860;2010;8;23;24;9.0
68860;2010;8;24;1;9.7
68860;2010;8;24;2;9.9
68860;2010;8;24;3;8.5
68860;2010;8;24;4;9.9
68860;2010;8;24;5;10.2
68860;2010;8;24;6;10.5
68860;2010;8;24;7;11.4
68860;2010;8;24;8;12.0
68860;2010;8;24;9;13.4
68860;2010;8;24;10;14.8
68860;2010;8;24;11;14.4
68860;2010;8;24;12;15.6
68860;2010;8;24;13;14.9
68860;2010;8;24;14;14.3
68860;2010;8;24;15;13.2
68860;2010;8;24;16;13.1
68860;2010;8;24;17;12.6
68860;2010;8;24;18;11.8
68860;2010;8;24;19;11.5
68860;2010;8;24;20;10.9
68860;2010;8;24;21;10.6
68860;2010;8;24;22;10.5
68860;2010;8;24;23;10.7
68860;2010;8;24;24;10.6
68860;2010;8;25;1;10.5
68860;2010;8;25;2;10.3
68860;2010;8;25;3;10.0
68860;2010;8;25;4;8.2
68860;2010;8;25;5;9.3
68860;2010;8;25;6;9.3
68860;2010;8;25;7;9.9
68860;2010;8;25;8;10.3
68860;2010;8;25;9;10.7
68860;2010;8;25;10;11.4
68860;2010;8;25;11;11.4
68860;2010;8;25;12;11.4
68860;2010;8;25;13;12.0
68860;2010;8;25;14;12.2
68860;2010;8;25;15;12.3
68860;2010;8;25;16;12.1
68860;2010;8;25;17;12.0
68860;2010;8;25;18;12.0
68860;2010;8;25;19;12.0
68860;2010;8;25;20;11.4
68860;2010;8;25;21;11.0
68860;2010;8;25;22;10.4
68860;2010;8;25;23;10.2
68860;2010;8;25;24;9.8
68860;2010;8;26;1;9.6
68860;2010;8;26;2;9.2
68860;2010;8;26;3;9.2
68860;2010;8;26;4;8.7
68860;2010;8;26;5;7.3
68860;2010;8;26;6;8.3
68860;2010;8;26;7;10.1
68860;2010;8;26;8;10.1
68860;2010;8;26;9;11.4
68860;2010;8;26;10;11.7
68860;2010;8;26;11;12.2
68860;2010;8;26;12;12.3
68860;2010;8;26;13;12.7
68860;2010;8;26;14;13.0
68860;2010;8;26;15;13.2
68860;2010;8;26;16;12.3
68860;2010;8;26;17;12.6
68860;2010;8;26;18;13.0
68860;2010;8;26;19;12.1
68860;2010;8;26;20;10.0
68860;2010;8;26;21;10.1
68860;2010;8;26;22;9.2
68860;2010;8;26;23;9.1
68860;2010;8;26;24;6.7
68860;2010;8;27;1;7.3
68860;2010;8;27;2;6.3
68860;2010;8;27;3;6.4
68860;2010;8;27;4;4.8
68860;2010;8;27;5;5.5
68860;2010;8;27;6;6.1
68860;2010;8;27;7;9.1
68860;2010;8;27;8;10.1
68860;2010;8;27;9;10.9
68860;2010;8;27;10;10.9
68860;2010;8;27;11;12.1
68860;2010;8;27;12;12.3
68860;2010;8;27;13;13.0
68860;2010;8;27;14;13.6
68860;2010;8;27;15;13.8
68860;2010;8;27;16;13.7
68860;2010;8;27;17;13.4
68860;2010;8;27;18;12.8
68860;2010;8;27;19;13.0
68860;2010;8;27;20;10.7
68860;2010;8;27;21;11.2
68860;2010;8;27;22;10.4
68860;2010;8;27;23;10.4
68860;2010;8;27;24;9.3
68860;2010;8;28;1;8.2
68860;2010;8;28;2;8.8
68860;2010;8;28;3;8.0
68860;2010;8;28;4;8.3
68860;2010;8;28;5;8.3
68860;2010;8;28;6;8.2
68860;2010;8;28;7;9.6
68860;2010;8;28;8;10.9
68860;2010;8;28;9;12.3
68860;2010;8;28;10;11.7
68860;2010;8;28;11;12.2
68860;2010;8;28;12;12.6
68860;2010;8;28;13;13.7
68860;2010;8;28;14;14.7
68860;2010;8;28;15;13.6
68860;2010;8;28;16;12.6
68860;2010;8;28;17;11.4
68860;2010;8;28;18;11.1
68860;2010;8;28;19;11.1
68860;2010;8;28;20;10.5
68860;2010;8;28;21;10.3
68860;2010;8;28;22;10.1
68860;2010;8;28;23;9.9
68860;2010;8;28;24;9.6
68860;2010;8;29;1;9.0
68860;2010;8;29;2;8.5
68860;2010;8;29;3;9.4
68860;2010;8;29;4;8.4
68860;2010;8;29;5;8.3
68860;2010;8;29;6;8.3
68860;2010;8;29;7;8.9
68860;2010;8;29;8;10.3
68860;2010;8;29;9;11.3
68860;2010;8;29;10;12.6
68860;2010;8;29;11;14.1
68860;2010;8;29;12;12.2
68860;2010;8;29;13;12.9
68860;2010;8;29;14;13.3
68860;2010;8;29;15;13.5
68860;2010;8;29;16;15.3
68860;2010;8;29;17;13.3
68860;2010;8;29;18;13.2
68860;2010;8;29;19;12.1
68860;2010;8;29;20;11.5
68860;2010;8;29;21;10.4
68860;2010;8;29;22;9.9
68860;2010;8;29;23;9.0
68860;2010;8;29;24;9.0
68860;2010;8;30;1;9.3
68860;2010;8;30;2;7.1
68860;2010;8;30;3;7.5
68860;2010;8;30;4;7.4
68860;2010;8;30;5;7.1
68860;2010;8;30;6;6.4
68860;2010;8;30;7;6.4
68860;2010;8;30;8;8.3
68860;2010;8;30;9;10.0
68860;2010;8;30;10;11.6
68860;2010;8;30;11;12.2
68860;2010;8;30;12;12.0
68860;2010;8;30;13;14.1
68860;2010;8;30;14;14.4
68860;2010;8;30;15;11.2
68860;2010;8;30;16;12.8
68860;2010;8;30;17;10.6
68860;2010;8;30;18;10.4
68860;2010;8;30;19;10.3
68860;2010;8;30;20;10.0
68860;2010;8;30;21;9.4
68860;2010;8;30;22;8.9
68860;2010;8;30;23;9.0
68860;2010;8;30;24;8.7
68860;2010;8;31;1;8.8
68860;2010;8;31;2;8.7
68860;2010;8;31;3;8.6
68860;2010;8;31;4;9.1
68860;2010;8;31;5;8.4
68860;2010;8;31;6;8.7
68860;2010;8;31;7;9.1
68860;2010;8;31;8;9.6
68860;2010;8;31;9;10.2
68860;2010;8;31;10;10.2
68860;2010;8;31;11;10.3
68860;2010;8;31;12;10.1
68860;2010;8;31;13;10.1
68860;2010;8;31;14;10.0
68860;2010;8;31;15;9.9
68860;2010;8;31;16;9.8
68860;2010;8;31;17;9.9
68860;2010;8;31;18;9.6
68860;2010;8;31;19;9.1
68860;2010;8;31;20;8.8
68860;2010;8;31;21;7.9
68860;2010;8;31;22;7.9
68860;2010;8;31;23;7.4
68860;2010;8;31;24;7.3
