St.no;Year;Mnth;Date;Time(NMT);TA
68860;2010;1;17;13;-1.3
68860;2010;1;17;14;-1.4
68860;2010;1;17;15;-1.4
68860;2010;1;17;16;-1.1
68860;2010;1;17;17;-0.9
68860;2010;1;17;18;-0.6
68860;2010;1;17;19;-0.4
68860;2010;1;17;20;-0.7
68860;2010;1;17;21;-0.6
68860;2010;1;17;22;-0.8
68860;2010;1;17;23;-1.1
68860;2010;1;17;24;-1.2
68860;2010;1;18;1;-1.3
68860;2010;1;18;2;-1.7
68860;2010;1;18;3;-1.8
68860;2010;1;18;4;-2.0
68860;2010;1;18;5;-2.1
68860;2010;1;18;6;-2.4
68860;2010;1;18;7;-2.6
68860;2010;1;18;8;-2.5
68860;2010;1;18;9;-2.8
68860;2010;1;18;10;-2.6
68860;2010;1;18;11;-2.1
68860;2010;1;18;12;-1.9
68860;2010;1;18;13;-1.7
68860;2010;1;18;14;-1.9
68860;2010;1;18;15;-2.1
68860;2010;1;18;16;-2.1
68860;2010;1;18;17;-2.4
68860;2010;1;18;18;-2.4
68860;2010;1;18;19;-2.6
68860;2010;1;18;20;-4.0
68860;2010;1;18;21;-4.9
68860;2010;1;18;22;-3.2
68860;2010;1;18;23;-3.2
68860;2010;1;18;24;-3.6
68860;2010;1;19;1;-3.6
68860;2010;1;19;2;-2.4
68860;2010;1;19;3;-2.1
68860;2010;1;19;4;-2.4
68860;2010;1;19;5;-2.7
68860;2010;1;19;6;-3.6
68860;2010;1;19;7;-3.2
68860;2010;1;19;8;-2.9
68860;2010;1;19;9;-2.6
68860;2010;1;19;10;-2.1
68860;2010;1;19;11;-1.8
68860;2010;1;19;12;-1.4
68860;2010;1;19;13;-1.0
68860;2010;1;19;14;-0.8
68860;2010;1;19;15;-0.7
68860;2010;1;19;16;-0.3
68860;2010;1;19;17;-1.0
68860;2010;1;19;18;-0.9
68860;2010;1;19;19;-1.2
68860;2010;1;19;20;-0.7
68860;2010;1;19;21;-2.2
68860;2010;1;19;22;-3.0
68860;2010;1;19;23;-3.4
68860;2010;1;19;24;-2.4
68860;2010;1;20;1;-4.1
68860;2010;1;20;2;-4.6
68860;2010;1;20;3;-5.2
68860;2010;1;20;4;-4.1
68860;2010;1;20;5;-4.4
68860;2010;1;20;6;-3.2
68860;2010;1;20;7;-1.1
68860;2010;1;20;8;-3.2
68860;2010;1;20;9;-2.8
68860;2010;1;20;10;-3.0
68860;2010;1;20;11;-3.9
68860;2010;1;20;12;-3.1
68860;2010;1;20;13;-3.0
68860;2010;1;20;14;-2.4
68860;2010;1;20;15;-0.5
68860;2010;1;20;16;-1.7
68860;2010;1;20;17;-3.5
68860;2010;1;20;18;-3.7
68860;2010;1;20;19;-3.7
68860;2010;1;20;20;-4.6
68860;2010;1;20;21;-3.4
68860;2010;1;20;22;-4.7
68860;2010;1;20;23;-3.4
68860;2010;1;20;24;-2.4
68860;2010;1;21;1;-2.8
68860;2010;1;21;2;-2.8
68860;2010;1;21;3;-2.6
68860;2010;1;21;4;-3.1
68860;2010;1;21;5;-3.1
68860;2010;1;21;6;-2.7
68860;2010;1;21;7;-2.6
68860;2010;1;21;8;-2.6
68860;2010;1;21;9;-2.8
68860;2010;1;21;10;-2.4
68860;2010;1;21;11;-2.2
68860;2010;1;21;12;-2.1
68860;2010;1;21;13;-1.5
68860;2010;1;21;14;-1.6
68860;2010;1;21;15;-1.7
68860;2010;1;21;16;-2.4
68860;2010;1;21;17;-2.8
68860;2010;1;21;18;-2.6
68860;2010;1;21;19;-2.2
68860;2010;1;21;20;-2.2
68860;2010;1;21;21;-2.3
68860;2010;1;21;22;-2.0
68860;2010;1;21;23;-2.0
68860;2010;1;21;24;-1.6
68860;2010;1;22;1;-1.6
68860;2010;1;22;2;-1.5
68860;2010;1;22;3;-1.2
68860;2010;1;22;4;-0.9
68860;2010;1;22;5;-1.0
68860;2010;1;22;6;-1.1
68860;2010;1;22;7;-1.5
68860;2010;1;22;8;-1.9
68860;2010;1;22;9;-2.8
68860;2010;1;22;10;-3.2
68860;2010;1;22;11;-3.7
68860;2010;1;22;12;-3.1
68860;2010;1;22;13;-3.5
68860;2010;1;22;14;-3.9
68860;2010;1;22;15;-3.9
68860;2010;1;22;16;-4.4
68860;2010;1;22;17;-5.4
68860;2010;1;22;18;-4.9
68860;2010;1;22;19;-5.0
68860;2010;1;22;20;-4.4
68860;2010;1;22;21;-4.2
68860;2010;1;22;22;-4.7
68860;2010;1;22;23;-4.3
68860;2010;1;22;24;-4.0
68860;2010;1;23;1;-4.5
68860;2010;1;23;2;-5.6
68860;2010;1;23;3;-5.6
68860;2010;1;23;4;-5.4
68860;2010;1;23;5;-5.3
68860;2010;1;23;6;-5.2
68860;2010;1;23;7;-5.9
68860;2010;1;23;8;-5.4
68860;2010;1;23;9;-5.5
68860;2010;1;23;10;-4.5
68860;2010;1;23;11;-4.9
68860;2010;1;23;12;-4.3
68860;2010;1;23;13;-4.3
68860;2010;1;23;14;-3.9
68860;2010;1;23;15;-3.8
68860;2010;1;23;16;-4.3
68860;2010;1;23;17;-4.0
68860;2010;1;23;18;-3.9
68860;2010;1;23;19;-4.2
68860;2010;1;23;20;-4.0
68860;2010;1;23;21;-4.7
68860;2010;1;23;22;-5.3
68860;2010;1;23;23;-4.4
68860;2010;1;23;24;-3.4
68860;2010;1;24;1;-4.6
